screen_name,favorite_count,retweet_count,followers_count
RosanaFerrero,1,0,590
RosanaFerrero,2,0,590
RosanaFerrero,8,4,590
RosanaFerrero,0,1,590
RosanaFerrero,0,1,590
RosanaFerrero,3,2,590
RosanaFerrero,0,0,590
RosanaFerrero,0,1,590
RosanaFerrero,10,3,590
RosanaFerrero,0,1,590
RosanaFerrero,1,0,590
RosanaFerrero,1,0,590
RosanaFerrero,0,0,590
RosanaFerrero,6,3,590
RosanaFerrero,2,2,590
RosanaFerrero,2,1,590
RosanaFerrero,1,0,590
RosanaFerrero,3,0,590
RosanaFerrero,6,2,590
RosanaFerrero,2,0,590
RosanaFerrero,1,2,590
RosanaFerrero,3,3,590
RosanaFerrero,0,0,590
RosanaFerrero,7,26,590
RosanaFerrero,1,2,590
RosanaFerrero,3,0,590
RosanaFerrero,2,2,590
RosanaFerrero,0,0,590
RosanaFerrero,3,2,590
RosanaFerrero,4,2,590
RosanaFerrero,1,0,590
RosanaFerrero,0,0,590
RosanaFerrero,1,3,590
RosanaFerrero,4,4,590
RosanaFerrero,10,9,590
RosanaFerrero,2,4,590
RosanaFerrero,1,1,590
RosanaFerrero,1,0,590
RosanaFerrero,1,0,590
RosanaFerrero,3,1,590
RosanaFerrero,7,4,590
RosanaFerrero,0,0,590
RosanaFerrero,2,0,590
RosanaFerrero,9,7,590
RosanaFerrero,2,0,590
RosanaFerrero,1,0,590
RosanaFerrero,0,1,590
RosanaFerrero,0,2,590
RosanaFerrero,2,0,590
RosanaFerrero,0,1,590
RosanaFerrero,1,2,590
RosanaFerrero,7,3,590
RosanaFerrero,2,1,590
RosanaFerrero,2,1,590
RosanaFerrero,2,1,590
RosanaFerrero,0,1,590
RosanaFerrero,2,2,590
RosanaFerrero,2,4,590
RosanaFerrero,1,1,590
RosanaFerrero,1,0,590
RosanaFerrero,5,2,590
RosanaFerrero,1,1,590
RosanaFerrero,0,0,590
RosanaFerrero,2,0,590
RosanaFerrero,3,3,590
RosanaFerrero,4,2,590
RosanaFerrero,0,5,590
RosanaFerrero,9,6,590
RosanaFerrero,6,4,590
RosanaFerrero,10,1,590
RosanaFerrero,1,0,590
RosanaFerrero,3,1,590
RosanaFerrero,7,3,590
RosanaFerrero,0,0,590
RosanaFerrero,7,3,590
RosanaFerrero,5,1,590
RosanaFerrero,5,3,590
RosanaFerrero,0,1,590
RosanaFerrero,1,0,590
RosanaFerrero,13,7,590
RosanaFerrero,0,1,590
RosanaFerrero,3,2,590
RosanaFerrero,2,2,590
RosanaFerrero,7,0,590
RosanaFerrero,0,0,590
RosanaFerrero,4,0,590
